               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.024368,            0.040996,            0.001398,             0.78819,             0.72152,             0.75573,             0.44484,            0.038519,            0.064299,           0.0055192,            0.003268,            0.003268,            0.003268
                 138,            0.024535,            0.044193,           0.0012251,             0.77153,             0.74832,             0.77004,             0.46466,             0.03808,            0.063182,           0.0057054,           0.0032185,           0.0032185,           0.0032185
                 139,            0.024777,             0.04412,           0.0011628,             0.75456,              0.7701,             0.76539,             0.45412,            0.038549,            0.063696,            0.005673,            0.003169,            0.003169,            0.003169
                 140,            0.024522,            0.041308,            0.001176,             0.76662,             0.75865,             0.76691,             0.45657,            0.038187,            0.063235,           0.0057675,           0.0031195,           0.0031195,           0.0031195
                 141,            0.024501,            0.041848,           0.0014013,             0.78381,             0.73349,             0.76784,             0.45837,            0.038425,            0.062313,           0.0055035,             0.00307,             0.00307,             0.00307
                 142,            0.024267,            0.042461,            0.001125,             0.81947,              0.7069,             0.76759,              0.4516,             0.03796,            0.061095,           0.0051587,           0.0030205,           0.0030205,           0.0030205
                 143,            0.023883,            0.042516,           0.0014259,             0.80835,              0.7341,             0.77775,             0.46082,            0.038033,            0.061995,           0.0049864,            0.002971,            0.002971,            0.002971
                 144,            0.024098,             0.03904,           0.0011709,             0.82606,             0.69986,             0.76064,             0.45367,            0.038507,            0.064564,           0.0053473,           0.0029215,           0.0029215,           0.0029215
                 145,             0.02334,            0.041743,           0.0010303,             0.76866,              0.7527,             0.76699,             0.45698,            0.038217,            0.064132,           0.0052808,            0.002872,            0.002872,            0.002872
                 146,            0.023988,            0.040846,           0.0011164,             0.84188,             0.68656,             0.75909,             0.45184,            0.038296,            0.064575,           0.0052989,           0.0028225,           0.0028225,           0.0028225
                 147,            0.023454,            0.039482,           0.0012104,             0.83245,             0.70378,             0.76484,             0.46365,            0.038187,            0.065211,            0.005528,            0.002773,            0.002773,            0.002773
                 148,            0.023378,            0.039529,            0.001044,             0.81982,             0.71676,             0.76424,             0.45295,            0.038348,            0.064233,           0.0054385,           0.0027235,           0.0027235,           0.0027235
                 149,            0.023386,            0.040997,           0.0011608,              0.7815,             0.74229,             0.75926,             0.45427,             0.03841,            0.064258,           0.0055998,            0.002674,            0.002674,            0.002674
                 150,            0.022279,            0.039099,           0.0011754,             0.76008,             0.73814,             0.74616,             0.44863,            0.038647,            0.065032,            0.005744,           0.0026245,           0.0026245,           0.0026245
                 151,            0.023062,            0.040479,           0.0010759,              0.7805,             0.72603,              0.7603,             0.45619,            0.038838,            0.064829,           0.0056667,            0.002575,            0.002575,            0.002575
                 152,            0.023214,            0.041794,            0.001129,             0.78948,             0.75017,             0.76107,             0.45778,            0.038725,            0.065072,           0.0057091,           0.0025255,           0.0025255,           0.0025255
                 153,            0.022877,            0.039996,           0.0011843,             0.82326,              0.7232,             0.75668,             0.44672,            0.038599,            0.064635,           0.0053655,            0.002476,            0.002476,            0.002476
                 154,            0.022479,             0.03986,          0.00097087,             0.79931,             0.72813,             0.75082,             0.44339,            0.038713,            0.064042,           0.0054213,           0.0024265,           0.0024265,           0.0024265
                 155,            0.022803,            0.037104,           0.0010199,             0.74199,             0.76878,             0.75356,             0.45334,            0.038347,            0.064651,           0.0052057,            0.002377,            0.002377,            0.002377
                 156,            0.023383,              0.0404,           0.0010737,             0.74273,             0.78078,             0.76925,             0.46942,            0.038118,            0.064102,           0.0053449,           0.0023275,           0.0023275,           0.0023275
                 157,            0.022642,            0.039469,           0.0010961,              0.7715,             0.76947,             0.77291,             0.46529,            0.038293,            0.064556,           0.0053524,            0.002278,            0.002278,            0.002278
                 158,              0.0228,            0.040808,           0.0009123,             0.78062,              0.7363,             0.76641,             0.45553,            0.038645,            0.066063,           0.0053704,           0.0022285,           0.0022285,           0.0022285
                 159,            0.022111,            0.037243,           0.0012968,             0.76653,             0.77929,             0.77273,             0.46631,             0.03834,            0.065719,           0.0051446,            0.002179,            0.002179,            0.002179
